Date,Color,Code
2025-04-20,BLUE,1
2025-04-21,BLUE,1
2025-04-22,BLUE,1
2025-04-23,BLUE,1
2025-04-24,BLUE,1
2025-04-25,BLUE,1
2025-04-26,BLUE,1
2025-04-27,BLUE,1
2025-04-28,BLUE,1
2025-04-29,BLUE,1
2025-04-30,BLUE,1
2025-05-01,BLUE,1
2025-05-02,BLUE,1
2025-05-03,BLUE,1
2025-05-04,BLUE,1
2025-05-05,BLUE,1
2025-05-06,BLUE,1
2025-05-07,BLUE,1
2025-05-08,BLUE,1
2025-05-09,BLUE,1
2025-05-10,BLUE,1
2025-05-11,BLUE,1
2025-05-12,BLUE,1
2025-05-13,BLUE,1
2025-05-14,BLUE,1
2025-05-15,BLUE,1
2025-05-16,BLUE,1
2025-05-17,BLUE,1
2025-05-18,BLUE,1
2025-05-19,BLUE,1
2025-05-20,BLUE,1
2025-05-21,BLUE,1
2025-05-22,BLUE,1
2025-05-23,BLUE,1
2025-05-24,BLUE,1
2025-05-25,BLUE,1
2025-05-26,BLUE,1
2025-05-27,BLUE,1
2025-05-28,BLUE,1
2025-05-29,BLUE,1
2025-05-30,BLUE,1
2025-05-31,BLUE,1
2025-06-01,BLUE,1
2025-06-02,BLUE,1
2025-06-03,BLUE,1
2025-06-04,BLUE,1
2025-06-05,BLUE,1
2025-06-06,BLUE,1
2025-06-07,BLUE,1
2025-06-08,BLUE,1
2025-06-09,BLUE,1
2025-06-10,BLUE,1
2025-06-11,BLUE,1
2025-06-12,BLUE,1
2025-06-13,BLUE,1
2025-06-14,BLUE,1
2025-06-15,BLUE,1
2025-06-16,BLUE,1
2025-06-17,BLUE,1
2025-06-18,BLUE,1
2025-06-19,BLUE,1
2025-06-20,BLUE,1
2025-06-21,BLUE,1
2025-06-22,BLUE,1
2025-06-23,BLUE,1
2025-06-24,BLUE,1
2025-06-25,BLUE,1
2025-06-26,BLUE,1
2025-06-27,BLUE,1
2025-06-28,BLUE,1
2025-06-29,BLUE,1
2025-06-30,BLUE,1
2025-07-01,BLUE,1
2025-07-02,BLUE,1
2025-07-03,BLUE,1
2025-07-04,BLUE,1
2025-07-05,BLUE,1
2025-07-06,BLUE,1
2025-07-07,BLUE,1
2025-07-08,BLUE,1
2025-07-09,BLUE,1
2025-07-10,BLUE,1
2025-07-11,BLUE,1
2025-07-12,BLUE,1
2025-07-13,BLUE,1
2025-07-14,BLUE,1
2025-07-15,BLUE,1
2025-07-16,BLUE,1
2025-07-17,BLUE,1
2025-07-18,BLUE,1
2025-07-19,BLUE,1
2025-07-20,BLUE,1
2025-07-21,BLUE,1
2025-07-22,BLUE,1
2025-07-23,BLUE,1
2025-07-24,BLUE,1
2025-07-25,BLUE,1
2025-07-26,BLUE,1
2025-07-27,BLUE,1
2025-07-28,BLUE,1
2025-07-29,BLUE,1
2025-07-30,BLUE,1
2025-07-31,BLUE,1
2025-08-01,BLUE,1
2025-08-02,BLUE,1
2025-08-03,BLUE,1
2025-08-04,BLUE,1
2025-08-05,BLUE,1
2025-08-06,BLUE,1
2025-08-07,BLUE,1
2025-08-08,BLUE,1
2025-08-09,BLUE,1
2025-08-10,BLUE,1
2025-08-11,BLUE,1
2025-08-12,BLUE,1
2025-08-13,BLUE,1
2025-08-14,BLUE,1
2025-08-15,BLUE,1
2025-08-16,BLUE,1
2025-08-18,BLUE,1
2025-08-19,BLUE,1
2025-08-20,BLUE,1
2025-08-21,BLUE,1
2025-08-22,BLUE,1
2025-08-23,BLUE,1
2025-08-24,BLUE,1
2025-08-25,BLUE,1
2025-08-26,BLUE,1
2025-08-27,BLUE,1
2025-08-28,BLUE,1
2025-08-29,BLUE,1
2025-08-30,BLUE,1
2025-08-31,BLUE,1
